Субъект;Последний год;Источник поступления данных в ЦЗЛ;Год первого поступления данных;Организация, проводившая обследования;Реестр ЛЗМ;Источник информации: 1-ИИ, 2-ИИ…5-ИИ;Приоритет проведения ЛЗМ;Способ проведения  государственного лесопатологического мониторинга:                                             1-ГЛПМ... 7-ГЛПМ;Оптимальные сроки проведения ЛЗМ;№ акта ЛПО;Внесение изменений;месяц для вновь выявленных или переоформленных;Дата внесения в реестр; Примечание к выделу (местоположение) ;Дата последнего изменеия в реестре;Год проведения лесоустройства;Дата обследования;широта;долгота;Лесничество;Участковое лесничество;Участок, урочище и т.п.;Квартал;Выдел;№ лесопатологического выдела;Площадь выдела, га;Целевое назначение лесов (код);Целевое назначение лесов по таксационным описаниям;Категория защитности;ОЗУ;ООПТ;Группа категория защитности;Состав;группа возраста;Возраст;Бонитет;Полнота;Запас на 1га, кбм;Транспортная доступность;Лесопользователь;Вид аренды ;Дата заключения договора;Срок аренды;год обследования;площадь обследования,га;№ разрешительного письма;площадь по ДЗЗ и ЛС,га;Вид СОМ 2015-2019;площадь СОМ 2015-2019, га;"Категория по форме ""Рослесхоз""";Главная порода;Повреждаемая порода;Код группы причин;Причина ослабления или гибели древостоя (1-ОЛПМ);Код повреждения по 1-ОЛПМ;Код второстепенной причины повреждения по 1-ОЛПМ;Год повреждения;Код защитности для приложения 2, 3;Прогноз;Повреждаемая порода по очагам 2-ОЛПМ;Код группы причины по 2-ОЛПМ;Виды вредителей и болезней (2-ОЛПМ);Код повреждения по 2-ОЛПМ;Фаза развития очага;Номер очага;общий отпад;степень усыхания;в т.ч. текущий;поврежденные (заселенные);Степень повреждения (заселения);Код признака, главный;% деревьев с наличием признака;Код признака второстепенный;% деревьев с наличием признака;Полнота, остающаяся после выборки деревьев, подлежащих рубке;Обеспечение лесовосстановления;Средневзвешенная категория состояния породы;Средневзвешенная категория состояния насаждения;Вид рекомендации;% деревьев от запаса подлежащий рубке;Погибшие;площадь рекомендации, га;запас рекомендованных,  куб. м;год гибели;Назначенные мероприятия текущего и прошедшего года;Площадь МЗЛ,га;запас МЗЛ, куб. м;Количество выбираемых деревьев (для РАД), шт.;Без признаков ослабления;Без признаков ослабления (Р);Ослабленные;Ослабленные (Р);Сильно ослабленные;Сильно ослабленные (Р);Усыхание;Усыхание (Р);Свежий сухостой;Свежий ветровал;Свежий бурелом;Старый сухостой;Старый ветровал;Старый бурелом;Площадь участка на конец декабря 2020 года;площадь, га (январь);запас, кмб. (январь);Площадь выдела с наличием ослабления (усыхания) древостоя на конец января 2021 года;площадь, га (февраль);запас, кмб. (февраль);Площадь выдела с наличием ослабления (усыхания) древостоя на конец февраля 2021 года;площадь, га (март);запас, кмб. (март);Площадь выдела с наличием ослабления (усыхания) древостоя на конец марта 2021 года;площадь, га (апрель);запас, кмб. (апрель);Площадь выдела с наличием ослабления (усыхания) древостоя на конец апреля 2021 года;площадь, га (май);запас, кмб. (май);Площадь выдела с наличием ослабления (усыхания) древостоя на конец мая 2021 года;площадь, га (июнь);запас, кмб. (июнь);Площадь выдела с наличием ослабления (усыхания) древостоя на конец июня 2021 года;площадь,га (июль);запас, кмб. (июль);Площадь выдела с наличием ослабления (усыхания) древостоя на конец июля 2021 года;площадь,га (август);запас, кмб. (август);Площадь выдела с наличием ослабления (усыхания) древостоя на конец августа 2021 года;площадь,га (сентябрь);запас, кмб. (сентябрь);Площадь выдела с наличием ослабления (усыхания) древостоя на конец сентября 2021 года;площадь,га (октябрь);запас, кмб. (октябрь);Площадь выдела с наличием ослабления (усыхания) древостоя на конец октября 2021 года;площадь, га (ноябрь);запас, кмб. (ноябрь);Площадь выдела с наличием ослабления (усыхания) древостоя на конец ноября 2021 года;площадь, га (декабрь);запас, кмб. (декабрь);Площадь выдела с наличием ослабления (усыхания) древостоя на конец декабря 2021 года;Вид МЗЛ c начала года;Площадь нарастающим итогом, га;Запас МЗЛ с начала года;Способ ЛПО;Ф.И.О. исполнителя работ;занесено Ф.И.О.;Источники данных (для реестра приложение 1.1);Примечание;Способ актуализации
Республика Хакасия;2019;ЛПТ;;ЦЗЛ;;4-ИИ;3;4-ГЛПМ;1 декада января - 3 декада декабря;;списание, переобследование ИФЛ;апрель;05.11.2019;;;1992;11.07.2019;53.526885;89.530925;Балыксинское;Верхне-Томское;;24;2;;26;1;защ;149;;;3;8П2К;4;140;3;0,6;250;;нет;;;;2019;26;;;;;Повреждение насекомыми;Пс;Пс;2;Усач пихтовый чёрный большой;341;337;2015;5;ухудшение;;;;;;;12;10,1-40%;8;;;;;;;0,5;;2,15;1,92;371;12;;26;;;;;;;48;;32;;8;;4;;4;0;;4;;;26;;;26;;;26;;;26;26;;0;;;;;;;;;;;;;;;;;;;;;;;;0;списание;26;0;1;Усольцев К.О.;Линдт Е.А.;11;;ДН
Республика Хакасия;2019;ЛПТ;;ЦЗЛ;;4-ИИ;3;4-ГЛПМ;1 декада января - 3 декада декабря;;списание, переобследование ИФЛ;апрель;05.11.2019;;;1992;11.07.2019;53.524257;89.522623;Балыксинское;Верхне-Томское;;24;3;;42;1;защ;149;;;3;8П2К;4;140;3;0,6;250;;нет;;;;2019;42;;;;;Повреждение насекомыми;Пс;Пс;2;Усач пихтовый чёрный большой;341;337;2015;5;ухудшение;;;;;;;17;10,1-40%;8;;;;;;;0,5;;2,15;2,03;371;17;;42;;;;;;;48;;31;;4;;4;;4;0;;9;;;42;;;42;;;42;;;42;42;;0;;;;;;;;;;;;;;;;;;;;;;;;0;списание;42;0;1;Усольцев К.О.;Линдт Е.А.;11;;ДН
Республика Хакасия;2020;ДН;;ЦЗЛ;;1-ИИ;3;3-ГЛПМ;1 декада мая - 1 декада октября;;списание, переобследование ИФЛ;март;29.05.2020;;;1992;20.02.2020;;;Балыксинское;Верхне-Томское;;24;7;2;41;1;защ;149;;;3;10П+К;4;150;4;0,6;240;;Нет;;;;2020;7;;;;;Ураганные ветра 2019 года;Пс;Пс;3;Воздействия сильных ветров прошлых лет, повлекшие наклон более 10°, изгиб или вывал деревьев;821;;2019;5;без изменений;;;;;;;11;10,1-40%;11;;;;;;;0,5;;;;371;11;;7;;;;;;;;;;;;;;;;;;;;;7;;;7;;;7;7;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;;0;списание;7;0;1а;;Линдт Е.А.;20;ДН 2020 года;ДН
Республика Хакасия;2019;ЛПТ;;ЦЗЛ;;4-ИИ;3;4-ГЛПМ;1 декада января - 3 декада декабря;;списание, переобследование ИФЛ;апрель;05.11.2019;;;1992;11.07.2019;53.51963;89.517222;Балыксинское;Верхне-Томское;;24;7;1;41;1;защ;149;;;3;10П+К;4;150;4;0,6;240;;нет;;;;2019;34;;;;;Повреждение насекомыми;Пс;Пс;2;Усач пихтовый чёрный большой;341;374;2015;5;ухудшение;;;;;;;15;10,1-40%;10;;;;;;;0,5;;2,20;2,20;371;15;;34;;;;;;;30;;45;;10;;5;;5;0;;5;;;34;;;34;;;34;;;34;34;;0;;;;;;;;;;;;;;;;;;;;;;;;0;списание;34;0;1;Усольцев К.О.;Линдт Е.А.;11;;ДН
Республика Хакасия;2019;ЛПТ;;ЦЗЛ;;4-ИИ;3;4-ГЛПМ;1 декада января - 3 декада декабря;;списание, переобследование;апрель;05.11.2019;;;1992;11.07.2019;53.507688;89.520862;Балыксинское;Верхне-Томское;;24;9;;95;1;защ;149;;;3;9П1К;4;150;3;0,6;250;;нет;;;;2019;95;;;;;Повреждение насекомыми;Пс;Пс;2;Усач пихтовый чёрный большой;341;337;2015;5;ухудшение;;;;;;;14;10,1-40%;4,5;;;;;;;0,5;;2,05;1,99;371;14;;95;;;;;;;52;;20,5;;13,5;;4,5;;0;0;;9,5;;;95;;;95;;;95;;;95;95;;0;;;;;;;;;;;;;;;;;;;;;;;;0;списание;95;0;1;Усольцев К.О.;Линдт Е.А.;11;;ДН
Республика Хакасия;2019;ЛПТ;2016;ЦЗЛ;;4-ИИ;3;4-ГЛПМ;1 декада января - 3 декада декабря;;списание, переобследование;апрель;05.11.2019;;;1992;11.08.2019;53.535993;89.546504;Балыксинское;Верхне-Томское;;25;3;;77;1;защ;149;;;3;8П2К;4;150;3;0,7;320;;нет;;;;2019;77;;;;;Повреждение насекомыми;Пс;Пс;2;Усач пихтовый чёрный большой;341;337;2015;5;ухудшение;;;;;;;18;10,1-40%;8;;;;;;;0,6;;2,45;2,35;371;18;;77;;;;;;;24;;49;;9;;4;;4;0;;10;;;77;;;77;;;77;;;77;77;;0;;;;;;;;;;;;;;;;;;;;;;;;0;списание;77;0;1;Усольцев К.О.;Линдт Е.А.;11;;ДН
Республика Хакасия;2020;ДН;;ЦЗЛ;;1-ИИ;3;3-ГЛПМ;1 декада мая - 1 декада октября;;списание, переобследование ИФЛ;март;29.05.2020;;;1992;20.02.2020;;;Балыксинское;Верхне-Томское;;25;5;1;78;1;защ;149;;;3;7П2К1Б;4;150;3;0,7;270;;Нет;;;;2020;57,9;;;;;Ураганные ветра 2019 года;Пс;Пс;3;Воздействия сильных ветров прошлых лет, повлекшие наклон более 10°, изгиб или вывал деревьев;821;;2019;5;без изменений;;;;;;;11;10,1-40%;11;;;;;;;0,6;;;;371;11;;57,9;;;;;;;;;;;;;;;;;;;;;57,9;;;57,9;;;57,9;57,9;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;;0;списание;57,9;0;1а;;Линдт Е.А.;20;ДН 2020 года;ДН
Республика Хакасия;2019;ЛПТ;;ЦЗЛ;;4-ИИ;3;4-ГЛПМ;1 декада января - 3 декада декабря;;списание, переобследование;апрель;05.11.2019;;;1992;11.08.2019;53.53149;89.541463;Балыксинское;Верхне-Томское;;25;6;;20;1;защ;149;;;3;8П2К;4;150;3;0,5;220;;нет;;;;2019;20;;;;;Повреждение насекомыми;Пс;Пс;2;Усач пихтовый чёрный большой;341;337;2015;5;ухудшение;;;;;;;16;10,1-40%;12;;;;;;;0,4;;2,15;1,92;371;16;;20;;;;;;;52;;28;;4;;8;;4;0;;4;;;20;;;20;;;20;;;20;20;;0;;;;;;;;;;;;;;;;;;;;;;;;0;списание;20;0;1;Усольцев К.О.;Линдт Е.А.;11;;ДН
Республика Хакасия;2020;ДН;;ЦЗЛ;;1-ИИ;3;3-ГЛПМ;1 декада мая - 1 декада октября;;списание, переобследование ИФЛ;март;29.05.2020;;;1992;20.02.2020;;;Балыксинское;Верхне-Томское;;25;7;1;63;1;защ;149;;;3;9П1К;4;160;4;0,7;250;;Нет;;;;2020;20,9;;;;;Ураганные ветра 2019 года;Пс;Пс;3;Воздействия сильных ветров прошлых лет, повлекшие наклон более 10°, изгиб или вывал деревьев;821;;2019;5;без изменений;;;;;;;11;10,1-40%;11;;;;;;;0,6;;;;371;11;;20,9;;;;;;;;;;;;;;;;;;;;;20,9;;;20,9;;;20,9;20,9;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;;0;списание;20,9;0;1а;;Линдт Е.А.;20;ДН 2020 года;ДН
Республика Хакасия;2020;ДН;;ЦЗЛ;;1-ИИ;3;3-ГЛПМ;1 декада мая - 1 декада октября;;списание, переобследование;апрель;29.05.2020;;;1992;20.02.2020;;;Балыксинское;Верхне-Томское;;25;9;1;20;1;защ;149;;;3;6П1К3Б;4;160;4;0,6;200;;Нет;;;;2020;1,7;;;;;Ураганные ветра 2019 года;Пс;Пс;3;Воздействия сильных ветров прошлых лет, повлекшие наклон более 10°, изгиб или вывал деревьев;821;;2019;5;без изменений;;;;;;;11;10,1-40%;11;;;;;;;0,5;;;;371;11;;1,7;;;;;;;;;;;;;;;;;;;;;1,7;;;1,7;;;1,7;;;1,7;1,7;;0;;;;;;;;;;;;;;;;;;;;;;;;0;списание;1,7;0;1а;;Линдт Е.А.;20;ДН 2020 года;ДН
Республика Хакасия;2020;ДН;;ЦЗЛ;;1-ИИ;3;3-ГЛПМ;1 декада мая - 1 декада октября;;списание, переобследование;апрель;29.05.2020;;;1992;20.02.2020;;;Балыксинское;Верхне-Томское;;25;11;1;6;1;защ;149;;;3;4П1К5Б;2;70;3;0,8;230;;Нет;;;;2020;0,7;;;;;Ураганные ветра 2019 года;Пс;Пс;3;Воздействия сильных ветров прошлых лет, повлекшие наклон более 10°, изгиб или вывал деревьев;821;;2019;5;без изменений;;;;;;;11;10,1-40%;11;;;;;;;0,7;;;;371;11;;0,7;;;;;;;;;;;;;;;;;;;;;0,7;;;0,7;;;0,7;;;0,7;0,7;;0;;;;;;;;;;;;;;;;;;;;;;;;0;списание;0,7;0;1а;;Линдт Е.А.;20;ДН 2020 года;ДН
Республика Хакасия;2020;ДН;;ЦЗЛ;;1-ИИ;3;3-ГЛПМ;1 декада мая - 1 декада октября;;списание, переобследование ИФЛ;март;29.05.2020;;;1992;20.02.2020;;;Балыксинское;Верхне-Томское;;29;9;1;65;2;эксп;;;;;8Б2П;4;160;4;0,5;180;;Нет;;;;2020;5,7;;;;;Ураганные ветра 2019 года;Бб;Бб;3;Воздействия сильных ветров прошлых лет, повлекшие наклон более 10°, изгиб или вывал деревьев;821;;2019;;без изменений;;;;;;;11;10,1-40%;11;;;;;;;0,5;;;;371;11;;5,7;;;;;;;;;;;;;;;;;;;;;5,7;;;5,7;;;5,7;5,7;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;;0;списание;5,7;0;1а;;Линдт Е.А.;20;ДН 2020 года;ДН
Республика Хакасия;2020;ДН;;ЦЗЛ;;1-ИИ;3;3-ГЛПМ;1 декада мая - 1 декада октября;;списание, переобследование ИФЛ;март;29.05.2020;;;1992;20.02.2020;;;Балыксинское;Верхне-Томское;;29;13;1;51;2;эксп;;;;;10П+К;4;150;4;0,6;220;;Нет;;;;2020;39,3;;;;;Ураганные ветра 2019 года;Пс;Пс;3;Воздействия сильных ветров прошлых лет, повлекшие наклон более 10°, изгиб или вывал деревьев;821;;2019;;без изменений;;;;;;;11;10,1-40%;11;;;;;;;0,5;;;;371;11;;39,3;;;;;;;;;;;;;;;;;;;;;39,3;;;39,3;;;39,3;39,3;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;;0;списание;39,3;0;1а;;Линдт Е.А.;20;ДН 2020 года;ДН
Республика Хакасия;2020;ДН;;ЦЗЛ;;1-ИИ;3;3-ГЛПМ;1 декада мая - 1 декада октября;;списание, переобследование;апрель;29.05.2020;;;1992;20.02.2020;;;Балыксинское;Верхне-Томское;;29;14;1;90;2;эксп;;;;;10П;4;140;4;0,6;220;;Нет;;;;2020;0,8;;;;;Ураганные ветра 2019 года;Пс;Пс;3;Воздействия сильных ветров прошлых лет, повлекшие наклон более 10°, изгиб или вывал деревьев;821;;2019;;без изменений;;;;;;;11;10,1-40%;11;;;;;;;0,5;;;;371;11;;0,8;;;;;;;;;;;;;;;;;;;;;0,8;;;0,8;;;0,8;;;0,8;0,8;;0;;;;;;;;;;;;;;;;;;;;;;;;0;списание;0,8;0;1а;;Линдт Е.А.;20;ДН 2020 года;ДН
Республика Хакасия;2020;ДН;;ЦЗЛ;;1-ИИ;3;3-ГЛПМ;1 декада мая - 1 декада октября;;списание, переобследование;апрель;29.05.2020;;;1992;20.02.2020;;;Балыксинское;Верхне-Томское;;29;15;1;132;2;эксп;;;;;8П1К1Б;4;160;4;0,6;220;;Нет;;;;2020;2,3;;;;;Ураганные ветра 2019 года;Пс;Пс;3;Воздействия сильных ветров прошлых лет, повлекшие наклон более 10°, изгиб или вывал деревьев;821;;2019;;без изменений;;;;;;;11;10,1-40%;11;;;;;;;0,5;;;;371;11;;2,3;;;;;;;;;;;;;;;;;;;;;2,3;;;2,3;;;2,3;;;2,3;2,3;;0;;;;;;;;;;;;;;;;;;;;;;;;0;списание;2,3;0;1а;;Линдт Е.А.;20;ДН 2020 года;ДН
Республика Хакасия;2020;ДН;;ЦЗЛ;;1-ИИ;3;3-ГЛПМ;1 декада мая - 1 декада октября;;списание, переобследование ИФЛ;март;29.05.2020;;;1992;20.02.2020;;;Балыксинское;Верхне-Томское;;30;7;1;21;2;эксп;;;;;7П1К2Б;4;150;4;0,6;190;;Нет;;;;2020;6,7;;;;;Ураганные ветра 2019 года;Пс;Пс;3;Воздействия сильных ветров прошлых лет, повлекшие наклон более 10°, изгиб или вывал деревьев;821;;2019;;без изменений;;;;;;;11;10,1-40%;11;;;;;;;0,5;;;;371;11;;6,7;;;;;;;;;;;;;;;;;;;;;6,7;;;6,7;;;6,7;6,7;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;;0;списание;6,7;0;1а;;Линдт Е.А.;20;ДН 2020 года;ДН
Республика Хакасия;2020;ДН;;ЦЗЛ;;1-ИИ;3;3-ГЛПМ;1 декада мая - 1 декада октября;;списание, переобследование;апрель;29.05.2020;;;1992;20.02.2020;;;Балыксинское;Верхне-Томское;;30;9;1;7;2;эксп;;;;;10П+К;4;150;4;0,6;220;;Нет;;;;2020;0,9;;;;;Ураганные ветра 2019 года;Пс;Пс;3;Воздействия сильных ветров прошлых лет, повлекшие наклон более 10°, изгиб или вывал деревьев;821;;2019;;без изменений;;;;;;;11;10,1-40%;11;;;;;;;0,5;;;;371;11;;0,9;;;;;;;;;;;;;;;;;;;;;0,9;;;0,9;;;0,9;;;0,9;0,9;;0;;;;;;;;;;;;;;;;;;;;;;;;0;списание;0,9;0;1а;;Линдт Е.А.;20;ДН 2020 года;ДН
Республика Хакасия;2020;ДН;;ЦЗЛ;;1-ИИ;3;3-ГЛПМ;1 декада мая - 1 декада октября;;списание, переобследование;апрель;29.05.2020;;;1992;20.02.2020;;;Балыксинское;Верхне-Томское;;30;11;1;13;1;защ;148;;;3;10П+К;4;150;4;0,6;200;;Нет;;;;2020;0,6;;;;;Ураганные ветра 2019 года;Пс;Пс;3;Воздействия сильных ветров прошлых лет, повлекшие наклон более 10°, изгиб или вывал деревьев;821;;2019;5;без изменений;;;;;;;11;10,1-40%;11;;;;;;;0,5;;;;371;11;;0,6;;;;;;;;;;;;;;;;;;;;;0,6;;;0,6;;;0,6;;;0,6;0,6;;0;;;;;;;;;;;;;;;;;;;;;;;;0;списание;0,6;0;1а;;Линдт Е.А.;20;ДН 2020 года;ДН
Республика Хакасия;2020;ДН;;ЦЗЛ;;1-ИИ;3;3-ГЛПМ;1 декада мая - 1 декада октября;;списание (переобследование);февраль;29.05.2020;;;1992;20.02.2020;;;Балыксинское;Верхне-Томское;;31;2;1;31;1;защ;149;;;3;8П2К;4;150;3;0,5;220;;Нет;;;;2020;3,3;;;;;Ураганные ветра 2019 года;Пс;Пс;3;Воздействия сильных ветров прошлых лет, повлекшие наклон более 10°, изгиб или вывал деревьев;821;;2019;5;без изменений;;;;;;;11;10,1-40%;11;;;;;;;0,5;;;;371;11;;3,3;;;;;;;;;;;;;;;;;;;;;3,3;;;3,3;3,3;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;;0;списание;3,3;0;1а;;Линдт Е.А.;20;ДН 2020 года;ДН
Республика Хакасия;2019;ЛПТ;;ЦЗЛ;;4-ИИ;3;4-ГЛПМ;1 декада января - 3 декада декабря;;списание, переобследование;апрель;05.11.2019;;;1992;11.07.2019;53.529165;89.547137;Балыксинское;Верхне-Томское;;31;2;;31;1;защ;149;;;3;8П2К;4;150;3;0,5;220;;нет;;;;2019;26,7;;;;;Повреждение насекомыми;Пс;Пс;2;Усач пихтовый чёрный большой;341;337;2015;5;ухудшение;;;;;;;17;10,1-40%;12;;;;;;;0,4;;2,25;2,10;371;17;;26,7;;;;;;;41;;34;;8;;8;;4;0;;5;;;26,7;;;26,7;;;26,7;;;26,7;26,7;;0;;;;;;;;;;;;;;;;;;;;;;;;0;списание;26,7;0;1;Усольцев К.О.;Линдт Е.А.;11;;ДН
Республика Хакасия;2019;ЛПТ;;ЦЗЛ;;4-ИИ;3;4-ГЛПМ;1 декада января - 3 декада декабря;;списание, переобследование;апрель;05.11.2019;;;1992;11.07.2019;53.520398;89.535687;Балыксинское;Верхне-Томское;;31;4;;66;1;защ;149;;;3;9П1К+Е;4;150;4;0,5;190;;нет;;;;2019;66;;;;;Повреждение насекомыми;Пс;Пс;2;Усач пихтовый чёрный большой;341;337;2015;5;ухудшение;;;;;;;15,5;10,1-40%;9,5;;;;;;;0,4;;1,80;1,86;371;15,5;;66;;;;;;;57;;26,5;;1;;4,5;;5;0;;6;;;66;;;66;;;66;;;66;66;;0;;;;;;;;;;;;;;;;;;;;;;;;0;списание;66;0;1;Усольцев К.О.;Линдт Е.А.;11;;ДН
Республика Хакасия;2019;ЛПТ;;ЦЗЛ;;4-ИИ;3;4-ГЛПМ;1 декада января - 3 декада декабря;;списание, переобследование;апрель;05.11.2019;;;1992;11.07.2019;53.520015;89.54324;Балыксинское;Верхне-Томское;;31;5;;96;1;защ;149;;;3;9П1К+Е;4;150;4;0,5;190;;нет;;;;2019;96;;;;;Повреждение насекомыми;Пс;Пс;2;Усач пихтовый чёрный большой;341;337;2015;5;ухудшение;;;;;;;15;10,1-40%;9,5;;;;;;;0,4;;2,15;2,15;371;15;;96;;;;;;;36;;39;;10;;4,5;;5;0;;5,5;;;96;;;96;;;96;;;96;96;;0;;;;;;;;;;;;;;;;;;;;;;;;0;списание;96;0;1;Усольцев К.О.;Линдт Е.А.;11;;ДН
Республика Хакасия;2019;ЛПТ;;ЦЗЛ;;4-ИИ;3;4-ГЛПМ;1 декада января - 3 декада декабря;;списание, переобследование;апрель;05.11.2019;;;1992;11.07.2019;53.505177;89.525997;Балыксинское;Верхне-Томское;;31;8;;63;1;защ;149;;;3;3К5П2Е;3;230;3;0,6;340;;нет;;;;2019;63;;;;;Повреждение насекомыми;Кс;Кс;2;Короед шестизубчатый;337;341;2016;5;ухудшение;;;;;;;18,5;10,1-40%;12;;;;;;;0,5;;2,40;2,12;371;18,5;;63;;;;;;;44;;29;;8,5;;8;;4;0;;6,5;;;63;;;63;;;63;;;63;63;;0;;;;;;;;;;;;;;;;;;;;;;;;0;списание;63;0;1;Усольцев К.О.;Линдт Е.А.;11;;ДН
Республика Хакасия;2020;ДН;;ЦЗЛ;;1-ИИ;3;3-ГЛПМ;1 декада мая - 1 декада октября;;списание, переобследование;апрель;29.05.2020;;;1992;20.02.2020;;;Балыксинское;Верхне-Томское;;32;1;1;18;1;защ;148;;;3;9П1К;4;160;3;0,5;210;;Нет;;;;2020;1,6;;;;;Ураганные ветра 2019 года;Пс;Пс;3;Воздействия сильных ветров прошлых лет, повлекшие наклон более 10°, изгиб или вывал деревьев;821;;2019;5;без изменений;;;;;;;11;10,1-40%;11;;;;;;;0,5;;;;371;11;;1,6;;;;;;;;;;;;;;;;;;;;;1,6;;;1,6;;;1,6;;;1,6;1,6;;0;;;;;;;;;;;;;;;;;;;;;;;;0;списание;1,6;0;1а;;Линдт Е.А.;20;ДН 2020 года;ДН
Республика Хакасия;2020;ДН;;ЦЗЛ;;1-ИИ;3;3-ГЛПМ;1 декада мая - 1 декада октября;;списание, переобследование;апрель;29.05.2020;;;1992;20.02.2020;;;Балыксинское;Верхне-Томское;;32;3;1;15;1;защ;148;;;3;7П2К1Б;4;160;4;0,6;200;;Нет;;;;2020;2,8;;;;;Ураганные ветра 2019 года;Пс;Пс;3;Воздействия сильных ветров прошлых лет, повлекшие наклон более 10°, изгиб или вывал деревьев;821;;2019;5;без изменений;;;;;;;11;10,1-40%;11;;;;;;;0,5;;;;371;11;;2,8;;;;;;;;;;;;;;;;;;;;;2,8;;;2,8;;;2,8;;;2,8;2,8;;0;;;;;;;;;;;;;;;;;;;;;;;;0;списание;2,8;0;1а;;Линдт Е.А.;20;ДН 2020 года;ДН
Республика Хакасия;2020;ДН;;ЦЗЛ;;1-ИИ;3;3-ГЛПМ;1 декада мая - 1 декада октября;;списание, переобследование;апрель;29.05.2020;;;1992;20.02.2020;;;Балыксинское;Верхне-Томское;;33;1;1;9;1;защ;148;;;3;10П+К;4;140;3;0,6;230;;Нет;;;;2020;0,4;;;;;Ураганные ветра 2019 года;Пс;Пс;3;Воздействия сильных ветров прошлых лет, повлекшие наклон более 10°, изгиб или вывал деревьев;821;;2019;5;без изменений;;;;;;;11;10,1-40%;11;;;;;;;0,5;;;;371;11;;0,4;;;;;;;;;;;;;;;;;;;;;0,4;;;0,4;;;0,4;;;0,4;0,4;;0;;;;;;;;;;;;;;;;;;;;;;;;0;списание;0,4;0;1а;;Линдт Е.А.;20;ДН 2020 года;ДН
Республика Хакасия;2020;ДН;;ЦЗЛ;;1-ИИ;3;3-ГЛПМ;1 декада мая - 1 декада октября;;списание, переобследование;апрель;29.05.2020;;;1992;20.02.2020;;;Балыксинское;Верхне-Томское;;33;3;1;6;1;защ;148;;;3;6П2К2Б;4;160;4;0,6;200;;Нет;;;;2020;0,5;;;;;Ураганные ветра 2019 года;Пс;Пс;3;Воздействия сильных ветров прошлых лет, повлекшие наклон более 10°, изгиб или вывал деревьев;821;;2019;5;без изменений;;;;;;;11;10,1-40%;11;;;;;;;0,5;;;;371;11;;0,5;;;;;;;;;;;;;;;;;;;;;0,5;;;0,5;;;0,5;;;0,5;0,5;;0;;;;;;;;;;;;;;;;;;;;;;;;0;списание;0,5;0;1а;;Линдт Е.А.;20;ДН 2020 года;ДН
Республика Хакасия;2020;ДН;;ЦЗЛ;;1-ИИ;3;3-ГЛПМ;1 декада мая - 1 декада октября;;списание, переобследование;апрель;29.05.2020;;;1992;20.02.2020;;;Балыксинское;Верхне-Томское;;33;5;1;50;1;защ;148;;;3;7П2К1Б;4;150;3;0,7;270;;Нет;;;;2020;3,6;;;;;Ураганные ветра 2019 года;Пс;Пс;3;Воздействия сильных ветров прошлых лет, повлекшие наклон более 10°, изгиб или вывал деревьев;821;;2019;5;без изменений;;;;;;;11;10,1-40%;11;;;;;;;0,6;;;;371;11;;3,6;;;;;;;;;;;;;;;;;;;;;3,6;;;3,6;;;3,6;;;3,6;3,6;;0;;;;;;;;;;;;;;;;;;;;;;;;0;списание;3,6;0;1а;;Линдт Е.А.;20;ДН 2020 года;ДН
Республика Хакасия;2020;ДН;;ЦЗЛ;;1-ИИ;3;3-ГЛПМ;1 декада мая - 1 декада октября;;списание, переобследование;апрель;29.05.2020;;;1992;20.02.2020;;;Балыксинское;Верхне-Томское;;33;15;1;17;2;эксп;;;;;8П2Б;4;120;4;0,5;160;;Нет;;;;2020;0,7;;;;;Ураганные ветра 2019 года;Пс;Пс;3;Воздействия сильных ветров прошлых лет, повлекшие наклон более 10°, изгиб или вывал деревьев;821;;2019;;без изменений;;;;;;;11;10,1-40%;11;;;;;;;0,5;;;;371;11;;0,7;;;;;;;;;;;;;;;;;;;;;0,7;;;0,7;;;0,7;;;0,7;0,7;;0;;;;;;;;;;;;;;;;;;;;;;;;0;списание;0,7;0;1а;;Линдт Е.А.;20;ДН 2020 года;ДН
Республика Хакасия;2020;ДН;;ЦЗЛ;;1-ИИ;3;3-ГЛПМ;1 декада мая - 1 декада октября;;списание, переобследование;апрель;29.05.2020;;;1992;20.02.2020;;;Балыксинское;Верхне-Томское;;34;30;1;4;2;эксп;;;;;5Б3ОС1К1П;2;40;4;0,6;70;;Нет;;;;2020;0,8;;;;;Ураганные ветра 2019 года;Бб;Бб;3;Воздействия сильных ветров прошлых лет, повлекшие наклон более 10°, изгиб или вывал деревьев;821;;2019;;без изменений;;;;;;;11;10,1-40%;11;;;;;;;0,5;;;;371;11;;0,8;;;;;;;;;;;;;;;;;;;;;0,8;;;0,8;;;0,8;;;0,8;0,8;;0;;;;;;;;;;;;;;;;;;;;;;;;0;списание;0,8;0;1а;;Линдт Е.А.;20;ДН 2020 года;ДН
